patient_nbr,SSN
394,234568289     
395,234568290     
396,234568291     
397,234568292     
398,234568293     
399,234568294     
400,234568295     
401,234568296     
402,234568297     
403,234568298     
404,234568299     
405,234568300     
406,234568301     
407,234568302     
408,234568303     
409,234568304     
410,234568305     
411,234568306     
412,234568307     
413,234568308     
414,234568309     
415,234568310     
416,234568311     
417,234568312     
418,234568313     
419,234568314     
420,234568315     
421,234568316     
422,234568317     
423,234568318     
424,234568319     
425,234568320     
426,234568321     
427,234568322     
428,234568323     
429,234568324     
430,234568325     
431,234568326     
432,234568327     
433,234568328     
434,234568329     
435,234568330     
436,234568331     
437,234568332     
438,234568333     
439,234568334     
440,234568335     
441,234568336     
442,234568337     
443,234568338     
444,234568339     
445,234568340     
446,234568341     
447,234568342     
448,234568343     
449,234568344     
450,234568345     
451,234568346     
452,234568347     
453,234568348     
454,234568349     
455,234568350     
456,234568351     
457,234568352     
458,234568353     
459,234568354     
460,234568355     
461,234568356     
462,234568357     
463,234568358     
464,234568359     
465,234568360     
466,234568361     
467,234568362     
468,234568363     
469,234568364     
470,234568365     
471,234568366     
472,234568367     
473,234568368     
474,234568369     
475,234568370     
476,234568371     
477,234568372     
478,234568373     
479,234568374     
480,234568375     
481,234568376     
482,234568377     
483,234568378     
484,234568379     
485,234568380     
486,234568381     
487,234568382     
488,234568383     
489,234568384     
490,234568385     
491,234568386     
492,234568387     
493,234568388     
494,234568389     
495,234568390     
496,234568391     
497,234568392     
498,234568393     
499,234568394     
500,234568395     
501,234568396     
502,234568397     
503,234568398     
504,234568399     
505,234568400     
506,234568401     
507,234568402     
508,234568403     
509,234568404     
510,234568405     
511,234568406     
512,234568407     
513,234568408     
514,234568409     
515,234568410     
516,234568411     
517,234568412     
518,234568413     
519,234568414     
520,234568415     
521,234568416     
522,234568417     
523,234568418     
524,234568419     
525,234568420     
526,234568421     
527,234568422     
528,234568423     
529,234568424     
530,234568425     
531,234568426     
532,234568427     
533,234568428     
534,234568429     
535,234568430     
536,234568431     
537,234568432     
538,234568433     
539,234568434     
540,234568435     
541,234568436     
542,234568437     
543,234568438     
544,234568439     
545,234568440     
546,234568441     
547,234568442     
548,234568443     
549,234568444     
550,234568445     
551,234568446     
552,234568447     
553,234568448     
554,234568449     
555,234568450     
556,234568451     
557,234568452     
558,234568453     
559,234568454     
560,234568455     
561,234568456     
562,234568457     
563,234568458     
564,234568459     
565,234568460     
566,234568461     
567,234568462     
568,234568463     
569,234568464     
570,234568465     
571,234568466     
572,234568467     
573,234568468     
574,234568469     
575,234568470     
576,234568471     
577,234568472     
578,234568473     
579,234568474     
580,234568475     
581,234568476     
582,234568477     
583,234568478     
584,234568479     
585,234568480     
586,234568481     
587,234568482     
588,234568483     
589,234568484     
590,234568485     
591,234568486     
592,234568487     
593,234568488     
594,234568489     
595,234568490     
596,234568491     
597,234568492     
598,234568493     
599,234568494     
600,234568495     
601,234568496     
602,234568497     
603,234568498     
604,234568499     
605,234568500     
606,234568501     
607,234568502     
608,234568503     
609,234568504     
610,234568505     
611,234568506     
612,234568507     
613,234568508     
614,234568509     
615,234568510     
616,234568511     
617,234568512     
618,234568513     
619,234568514     
620,234568515     
621,234568516     
622,234568517     
623,234568518     
624,234568519     
625,234568520     
626,234568521     
627,234568522     
628,234568523     
629,234568524     
630,234568525     
631,234568526     
632,234568527     
633,234568528     
634,234568529     
635,234568530     
636,234568531     
637,234568532     
638,234568533     
639,234568534     
640,234568535     
641,234568536     
642,234568537     
643,234568538     
644,234568539     
645,234568540     
646,234568541     
647,234568542     
648,234568543     
649,234568544     
650,234568545     
651,234568546     
652,234568547     
653,234568548     
654,234568549     
655,234568550     
656,234568551     
657,234568552     
658,234568553     
659,234568554     
660,234568555     
661,234568556     
662,234568557     
663,234568558     
664,234568559     
665,234568560     
666,234568561     
667,234568562     
668,234568563     
669,234568564     
670,234568565     
671,234568566     
672,234568567     
673,234568568     
674,234568569     
675,234568570     
676,234568571     
677,234568572     
678,234568573     
679,234568574     
680,234568575     
681,234568576     
682,234568577     
683,234568578     
684,234568579     
685,234568580     
686,234568581     
687,234568582     
688,234568583     
689,234568584     
690,234568585     
691,234568586     
692,234568587     
693,234568588     
694,234568589     
695,234568590     
696,234568591     
697,234568592     
698,234568593     
699,234568594     
700,234568595     
701,234568596     
702,234568597     
703,234568598     
704,234568599     
705,234568600     
706,234568601     
707,234568602     
708,234568603     
709,234568604     
710,234568605     
711,234568606     
712,234568607     
713,234568608     
714,234568609     
715,234568610     
716,234568611     
717,234568612     
718,234568613     
719,234568614     
720,234568615     
721,234568616     
722,234568617     
723,234568618     
724,234568619     
725,234568620     
726,234568621     
727,234568622     
728,234568623     
729,234568624     
730,234568625     
731,234568626     
732,234568627     
733,234568628     
734,234568629     
735,234568630     
736,234568631     
737,234568632     
738,234568633     
739,234568634     
740,234568635     
741,234568636     
742,234568637     
743,234568638     
744,234568639     
745,234568640     
746,234568641     
747,234568642     
748,234568643     
749,234568644     
750,234568645     
751,234568646     
752,234568647     
753,234568648     
754,234568649     
755,234568650     
756,234568651     
757,234568652     
758,234568653     
759,234568654     
760,234568655     
761,234568656     
762,234568657     
763,234568658     
764,234568659     
765,234568660     
766,234568661     
767,234568662     
768,234568663     
769,234568664     
770,234568665     
771,234568666     
772,234568667     
773,234568668     
774,234568669     
775,234568670     
776,234568671     
777,234568672     
778,234568673     
779,234568674     
780,234568675     
781,234568676     
782,234568677     
783,234568678     
784,234568679     
785,234568680     
786,234568681     
787,234568682     
788,234568683     
789,234568684     
790,234568685     
791,234568686     
792,234568687     
793,234568688     
794,234568689     
795,234568690     
796,234568691     
797,234568692     
798,234568693     
799,234568694     
800,234568695     
801,234568696     
802,234568697     
803,234568698     
804,234568699     
805,234568700     
806,234568701     
807,234568702     
808,234568703     
809,234568704     
810,234568705     
811,234568706     
812,234568707     
813,234568708     
814,234568709     
815,234568710     
816,234568711     
817,234568712     
818,234568713     
819,234568714     
820,234568715     
821,234568716     
822,234568717     
823,234568718     
824,234568719     
825,234568720     
826,234568721     
827,234568722     
828,234568723     
829,234568724     
830,234568725     
831,234568726     
832,234568727     
833,234568728     
834,234568729     
835,234568730     
836,234568731     
837,234568732     
838,234568733     
839,234568734     
840,234568735     
841,234568736     
842,234568737     
843,234568738     
844,234568739     
845,234568740     
846,234568741     
847,234568742     
848,234568743     
849,234568744     
850,234568745     
851,234568746     
852,234568747     
853,234568748     
854,234568749     
855,234568750     
856,234568751     
857,234568752     
858,234568753     
859,234568754     
860,234568755     
861,234568756     
862,234568757     
863,234568758     
864,234568759     
865,234568760     
866,234568761     
867,234568762     
868,234568763     
869,234568764     
870,234568765     
871,234568766     
872,234568767     
873,234568768     
874,234568769     
875,234568770     
876,234568771     
877,234568772     
878,234568773     
879,234568774     
880,234568775     
881,234568776     
882,234568777     
883,234568778     
884,234568779     
885,234568780     
886,234568781     
887,234568782     
888,234568783     
889,234568784     
890,234568785     
891,234568786     
892,234568787     
893,234568788     
894,234568789     
895,234568790     
896,234568791     
897,234568792     
898,234568793     
899,234568794     
900,234568795     
901,234568796     
902,234568797     
903,234568798     
904,234568799     
905,234568800     
906,234568801     
907,234568802     
908,234568803     
909,234568804     
910,234568805     
911,234568806     
912,234568807     
913,234568808     
914,234568809     
915,234568810     
916,234568811     
917,234568812     
918,234568813     
919,234568814     
920,234568815     
921,234568816     
922,234568817     
923,234568818     
924,234568819     
925,234568820     
926,234568821     
927,234568822     
928,234568823     
929,234568824     
930,234568825     
931,234568826     
932,234568827     
933,234568828     
934,234568829     
935,234568830     
936,234568831     
937,234568832     
938,234568833     
939,234568834     
940,234568835     
941,234568836     
942,234568837     
943,234568838     
944,234568839     
945,234568840     
946,234568841     
947,234568842     
948,234568843     
949,234568844     
950,234568845     
951,234568846     
952,234568847     
953,234568848     
954,234568849     
955,234568850     
956,234568851     
957,234568852     
958,234568853     
959,234568854     
960,234568855     
961,234568856     
962,234568857     
963,234568858     
964,234568859     
965,234568860     
966,234568861     
967,234568862     
968,234568863     
969,234568864     
970,234568865     
971,234568866     
972,234568867     
973,234568868     
974,234568869     
975,234568870     
976,234568871     
977,234568872     
978,234568873     
979,234568874     
980,234568875     
981,234568876     
982,234568877     
983,234568878     
984,234568879     
985,234568880     
986,234568881     
987,234568882     
988,234568883     
989,234568884     
990,234568885     
991,234568886     
992,234568887     
993,234568888     
994,234568889     
995,234568890     
996,234568891     
997,234568892     
998,234568893     
999,234568894     
1000,234568895
